,Job Title,Company,multiple_details,Description
0,Data Scientist,Fundo Loans,"['Sydney', 'CBD, Inner West & Eastern Suburbs', 'Information & Communication Technology', 'Engineering - Software', '$110,000 - $149,999', 'Full time']","We are scaling up! An exciting opportunity exists for a Data Scientist to join the innovative and successful FinTech team at Fundo Loans, based in Surry Hills.  Why Join Us? Competitive remuneration - be recognised for your experience and skillsAwesome career progression opportunities - make your mark and find fulfillment in a rapidly growing business committed to being better each dayFlexible work environment - be supported with flexible working conditions dedicated to achieving a good work/life balanceNew, light-filled and centrally located office space -  5 mins walk from Central station + surrounded by a vibrant bar and restaurant sceneStrong team culture - be encouraged to develop professionally and personally in a social, supportive and dynamic environment About UsFundo Loans was born in 2015. Our first year revenue was $400,000 - this year will be over $40 Million dollars. We grew our revenue by 996% in 2020 alone, and 250% in 2021. We now have a large scale, off-shore customer service team as well as tech-devs with a small executive tech team here in Sydney. We're dedicated to creating an environment of growth and fulfilment through conquering challenges, and we want you on board for the ride. Job OverviewWe are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.Responsibilities:Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data sets.Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.Develop company A/B testing framework and test model quality.Coordinate with different functional teams to implement models and monitor outcomes.Develop processes and tools to monitor and analyze model performance and data accuracy.Qualifications for Data Scientist:Strong problem solving skills with an emphasis on product development.Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.Experience working with and creating data architectures.Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.Excellent written and verbal communication skills for coordinating across teams.A drive to learn and master new technologies and techniques.We’re looking for someone with 5-7 years of experience manipulating data sets and building statistical models, and is familiar with the following software/tools:Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.Deployed at least 4+ models in productions used by businesses.Experience using web services: AWS, Google Cloud.Proven Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.Experience visualizing/presenting data for stakeholders."
1,Data Scientist ,Paxus,"['ACT', 'Information & Communication Technology', 'Other', 'hourly pay- with competitive rates ', 'Contract/Temp']","Skills RequiredContribute to improving reporting outcomes through innovative thinking and implementing best practice business intelligence outcomes for Defence Export Control Branch.Develop regular and ad hoc reports extracting data from projects to formulate insights to inform Senior Executive briefings.Build new models and tools that provide holistic insights about how we best manage trends or manage risk, identified from data indicators.Understand and apply mission and business objectives as they relate to regulatory affairs and compliance. **To Apply for this role the applicants must hold Baseline clearance**REF: 200206266To be considered for the role click the 'apply' button or for more information about this and other opportunities please contact Chimi Tshering on 02 6151 9201 or email ctshering@paxus.com.au and quote the above job reference number. Paxus values diversity and welcomes applications from Indigenous Australians, people from diverse cultural and linguistic backgrounds and people living with a disability. If you require an adjustment to the recruitment process please contact me on the above contact details."
2,Data Scientist - Large Retail Group,Bluefin Resources Pty Limited,"['Sydney', 'CBD, Inner West & Eastern Suburbs', 'Marketing & Communications', 'Market Research & Analysis', '$150000.00 - $160000.00 p.a. incl super, 15% bonus', 'Full time']"," Data Scientist - Large Retail GroupThe CompanyA reputed leading Retail Group with presence across ANZ - they redefine the retail, hospitality, leisure and entertainment experience for the millions of customers. They are a company that offer diverse career paths across a vertically integrated business encourage and facilitate innovation, and has been recognised as an Employer of Choice workplace 2 years in a row!The Role Sitting within the dynamic Strategic Insights and Analytics team, you will join a passionate bunch of insights, analytics and data science colleagues and work on improving customer outcomes developing segmentation and predictive models and provide insights, actionable intelligence and recommendations to business verticals.ResponsibilitiesStreamline and automate data and analytical processes - on cloud and in production environment.Use existing and new innovative methodologies from statistical modelling and machine learning domains and design experiments, test hypotheses and building predictive models.Identify and process large volumes of data from various internal and external data sourcesUpdate and maintain existing analytical and machine learning pipelinesInterpret insights and summarise findingsImprove ongoing 'run' processes through proper data modelling and pipeline automation (e.g. VBOT, turnover processing, and seasonal adjustment).You will need Tertiary education in the Science, Technology, Engineering or Mathematics, Statistics disciplines will be highly regarded.3-5+ years' years of experience applying ML / Python techniques to achieve commercial outcomes across either marketing, consulting or relative domain a big plus!Knowledge of a variety of statistical and data mining techniques (regression, statistical tests and proper usage, random forest, clustering, decision tree learning, deep learning text mining etc.) a big plus!Technical proficiency in analytics and data science platforms and tools including but not limited to SQL/Python or R, Matlab, Tableau/PowerBI and Hadoop/Spark or AWS.Experience collaborating within cross-functional teams to deliver outcomes for business stakeholdersAbility to work under demanding timelines, attention to detail and ability to hit the ground running.This is a great opportunity to work for a reputed retail company who are investing heavily across their business with a focus on technology and people.Please apply on-line or for more information please contact Kausty Mahajan at Bluefin Resources on 02 9270 2603. "
3,Data Scientist - Consulting,The Onset,"['Sydney', 'CBD, Inner West & Eastern Suburbs', 'Information & Communication Technology', 'Developers/Programmers', '$130-150k base', 'Full time']","Tier one consulting has not slown down through the pandemic by any stretch. This high-end consulting business has continued to expand globally (10+ offices) and recently launched their APAC HQ here in Sydney.
 
The firm is clear on its target market in the form of TMT (Telecommunications, Media and Technology). Their strategy consultants (both locally and in the US) have done a great job in winning business in APAC, so you'd get to work on some great customers from day-one.
 
Their AI/Data Science centre of excellence is based in the East Coast US, and you’d get to work closely with them on how to roll out a unified AI/Data Science strategy. They have built proprietary products in market already and are investing in enhancing the features regularly.
 
As a Senior Data Scientist you will have an integral role in the firm and across projects inclusive of Data Science and deep Machine Learning. Engaging customers at a deep and meaningful level is critical across all facets of their Data Science consulting strategy. 
 
Experience sought: 

2-4 years’ hands on Machine Learning or Deep Learning experience
2-4 years’ experience analyzing and transforming data using SQL and Python
2-4 years’ experience automating repetitive workflows using Python, SQL, Bash or similar
Experience with data preparation for statistical or machine learning models Experience working across cloud platforms and distributed systems such as AWS S3/EC2/Redshift, Azure, Google Cloud Platform, Databricks, Snowflake
Experience working with end users to conduct needs assessment and user testing
Ability to leverage critical data-driven thinking and enthusiasm for translating data into actionable insight to generate consistently accurate and useful analysis and models
Commercial Experience in a tier one consulting firm or technology brand

At a global level you'll work with strategists and technical consultants in the US, some of the best crew around many of whom from Ivy League academic backgrounds. 
 
They have the level of internal investment in training, technical capability and team culture that you’d expect from a global tier one firm and more! 
 
If this role is of interest, please apply below with your up to date cv and we can have a discreet discussion with regard to this great opportunity or feel free to reach out to me at greg@theonset.com.au or 0487848404 [link removed]."
4,Data Scientist,Effective People,"['ACT', 'Information & Communication Technology', 'Business/Systems Analysts', '$70-$80 per hour inc Super', 'Contract/Temp']"," Data Scientist Role Baseline clearance, or ability to obtain  5 month role initally $70-80 per hour, Inc Super Canberra Based Role  Reference Number #847602 Job closes 09/02/2022  Our Federal Government Client is seeking a Data Scientist to join them at the EL1 LevelABOUT THE JOB:  Contribute to improving reporting outcomes through innovative thinking and implementing best practice business intelligence outcomes for Defence Export Control Branch. Develop regular and ad hoc reports extracting data from DECS to formulate insights to inform Senior Executive briefings. Identify connections between systems and data (mainly structured data sets) and working on new ways to simplify, automate and standardise key business processes (including progressing the use of dash-boarding tools such as Power BI and Cognos). Build new models and tools that provide holistic insights about how we best manage trends or manage risk, identified from data indicators.    Understand and apply Defence’s mission and business objectives as they relate to regulatory affairs and compliance. Assessing and evaluating DECS system upgrades to achieve continuous improvement in reporting. Ability to use basic graphic design techniques to display business information, including presentations.  THE SUCCESFUL CANDIDATE WILL HAVE:  The successful candidate will be expected to have basic knowledge of graphic design to display date insights to Senior Executives. This is a Canberra based role. The successful candidate may be required to travel between Defence buildings and to work from alternate Defence locations as and when required. Remote working may also be required to comply with COVID-19 government health directives.  Interested? Call Luke or Effective People on 1300 946 471 to find out more about this fantastic opportunity! Why our Contractors LOVE Effective People  Fortnightly payment schedule Salary Packaging Benefits Novated Car Leasing Opportunities Corporate Discounts People First Focus, our team is always accessible "
5,Associate Data Scientist,TABCORP,"['Sydney', 'Information & Communication Technology', 'Database Development & Administration', 'Enjoy a Flexi Day on us!', 'Full time']","From nation-defining races to world-class media that transports our customers trackside, creating awesome experiences is what we live for. As part of our wagering and media team, you’ll help create excitement in the contest like no one else.
 
The Wagering & Media (W&M) technology function is a business facing domain that predominately works with the Wagering & Media business units to achieve their business strategy, enabling them to deliver superb customer experiences, differentiating for competitive advantage, and driving growth, innovation, and value for the W&M business. The W&M technology team is required to continuously improve products and services and execute the defined technology strategy via delivery of prioritised technology initiatives.
 
Your role is expected to understand the business’ strategies and objectives, the predictive business issues to be solved, and contribute to the determination what individual or linked wagering datasets and machine learning tools and algorithms can be used to best solve these issues and be hands-on in solving these issues with predictive tools.
 
The Data Science team is tasked with balancing business insight, acumen, and analytics to develop insights that informs business thinking and develops intellectual property to move the business forward.
 
What you’ll do
 

You will be an individual and team contributor- working on building data science platforms, products, and solutions from the ground-up as well as researching ways to improve the business
Take practical, real-world problems and opportunities and solve them with machine learning processes that drive measurable improvements in business performance and outcomes
Collaborate with internal SMEs, data analysts and data architects, to create predictive analytics products
Support the day to day running of our data science platform and processes
Perform ad-hoc data analysis and present results in a clear manner

What you’ll bring
Qualifications

Advanced Degree in Computer Science, Mathematics, Statistics or Quantitative Science

Experience

2+ years of experience as a Data Analyst / Associate Data Scientist in a corporate environment building and delivering data science products and solutions especially in applying Machine Learning techniques, advanced analytics, and statistical modelling
Experience with the R / Python programming language
Experience with data visualisation tools, such as Tableau
Proficiency in using query languages such as SQL
Experience with cloud-based data environments
Good, applied statistics skills, such as distributions, statistical testing, regression, etc.
Good scripting and programming skills
Strong background in foundational mathematics such as statistics, probability, and linear algebra
A business mindset - you ask and address the most important analytical questions with a view on enhancing product impact
Passionate and attentive self-starter, great communicator, and amazing follow-through - you love the responsibility of being personally empowered
Start-up mentality (fast-paced, flexible, and team-oriented)
Demonstrated ability to apply data science techniques in business environments

Proven ability to get things done under uncertainty
About Tabcorp
Looking for your next challenge? We’re looking for technologists who love to solve complex problems and influence and shape the future. 
At Tabcorp we manage iconic Australian brands which ignite passion and excitement in millions of Australians. Our purpose is ""Excitement with Integrity"", and we pride ourselves on creating awesome, life-changing moments.
At our heart is our customers and community, our people, and our technology.  Last year we contributed over $4.5B to the Australian community.  We’ve been through a transformation and are focused on the future, adopting new technologies and building future capability.
We have an opportunity for resilient and curious technologists to grow their career at Tabcorp and have some fun and excitement along the way.
Tabcorp is committed to creating an inclusive workplace where all our people feel valued for their unique qualities and have a sense of belonging. If you need assistance or adjustments to fully participate in the application process, please contact tabcorprecruitment@tabcorp.com.au
COVID-19
Tabcorp is closely monitoring Department of Health guidelines to ensure we continue to provide a safe working environment.
 "
6,Data Scientist,TheDriveGroup,"['Sydney', 'CBD, Inner West & Eastern Suburbs', 'Information & Communication Technology', 'Engineering - Software', 'Full time']","An opportunity for an experienced advertising/marketing inclined Data Scientist to join a high growth, regional start-up.    An Ad-tech start-up is seeking an experienced Data Analyst or Data Scientist to join their scaling team here in Sydney. You will have a passion for data and not only own but drive forward the analytics capability of the business.    As a Data Scientist, you will own the businesses’ analytics function – managing the reporting and analysis capability as well as introducing scientific models aimed at adding tremendous value to your clients. You’ll be an expert in Tableau, SQL and the cloud and have a passion for developing and deploying models.    What You’ll Do  You’ll be across the entire data ecosystem of the business and be able to establish and maintain best practices, all whilst identifying growth opportunities. You will advise on and implement models that push the data capability forward You conduct analysis across the platform and customers to ensure that advertisements are optimized correctly and receive the most traffic Collaborate closely with tech and non-tech stakeholders to ensure that your output is meeting requirements Conduct ad-hoc reporting and analysis, as well as supporting internal teams with any marketing analysis as required     What You’re bringing  3 + years commercial experience in Data Experience developing reporting and analytics platforms in Tableau or Power BI You have experience querying in SQL Fantastic verbal and written communication skills A passion for marketing, whether that’s television, print or digital media     This is a fantastic opportunity for a passionate Analyst or Data Scientist to own the data function of a media company and contribute to the growth of the company.    For more information, please reach out to Andrew de Roos at andrew@thedrivegroup.com.au.    Follow Us On LinkedIn: https://www.linkedin.com/company/thedrivegroup For The Latest Tech News, New Jobs & Our $1000 'Introduce A Friend' Referral Fee"
7,Data Scientist,Valrose,"['Perth', 'CBD, Inner & Western Suburbs', 'Science & Technology', 'Mathematics, Statistics & Information Sciences', 'Full time']","Valrose is the exclusive recruitment provider for the hire of this Data Scientist position.Why you will love working for this organisation…☑ The team works collaboratively to achieve impressive results.☑ You will work for transparent, inspirational, and empathetic leadership, who happily pitch in wherever needed.☑ The projects are varied and exciting.☑ Through the inevitable ups and downs in business, there is a consistent sense of camaraderie across the whole business. Celebrating the wins and tackling challenges positively…together.☑ Working in a fair-sized team of Data Scientists, Data Analysts, and Data Engineers. Allowing you to continuously learn off and share your knowledge with those around you.☑ There are exciting challenges to be part of. Allowing you to utilise your communication, influencing, and problem-solving skills to drive positive outcomes. What you will be doing within the role…✅ Building models using SAS, Python, and SQL.✅ Providing input into the technical and strategic direction of the data analytics team.✅ Acting as a technical expert, where needed.✅ Working closely with your data science and engineering colleagues to promote a collaborative, innovative working environment.✅ Using your initiative to build predictive models to drive data-driven decision making for the leadership team✅ Automating tasks through the development of data-driven solutionsWhat you will bring to the role…✅ Your technical strength in data analysis with Python, SAS, and SQL expertise.✅ Your passion for building models and solutions that solve real-world business problems and provide critical insights✅ Your ability to communicate ideas to a variety of business stakeholders and understand their needs✅ Your enthusiasm for ensuring data integrity drive data-driven insights and automation. ---------------------------------------------------------------------About working with Valrose - We listen. We understand. We solve.Valrose consultants work with you to understand where your character, aspirations, and skills will be most valued.We will understand your priorities, whether financial, career progression, workplace culture or technology related. We will discuss the opportunity thoroughly, how it aligns with your career goals, and guide you through the whole recruitment process, providing expert advice and support from initial application through to offer.We are trusted advisors to our clients, acting as an extension of their business.We genuinely care about our candidates and love helping connect people with great opportunities. If you would like to understand more about the above role, please get in touch. Our ValuesHumanity – Success – Integrity – Accountability – Curiosity Diversity – Welcome it. Entrust it. Celebrate it.Within our business, we have created an environment where anyone from any background can bring their authentic self to work, celebrating our differences whilst working towards a common purpose. We believe this is not just the ethical thing to do, but it’s the intelligent thing to do. Diversity drives innovation!The Valrose team enjoys building inclusive cultures.Valrose is a 2021 Circle Back Initiative Recruitment Agency – we commit to responding to every applicant.Valrose is a 2021 Seek SARA Award Finalist for Excellence in Candidate Engagement#SCR-mike-quigley"
8,Associate Data Scientist,TABCORP,"['Melbourne', 'Information & Communication Technology', 'Database Development & Administration', 'Enjoy a Flexi Day on us!', 'Full time']","From nation-defining races to world-class media that transports our customers trackside, creating awesome experiences is what we live for. As part of our wagering and media team, you’ll help create excitement in the contest like no one else.
 
The Wagering & Media (W&M) technology function is a business facing domain that predominately works with the Wagering & Media business units to achieve their business strategy, enabling them to deliver superb customer experiences, differentiating for competitive advantage, and driving growth, innovation, and value for the W&M business. The W&M technology team is required to continuously improve products and services and execute the defined technology strategy via delivery of prioritised technology initiatives.
 
Your role is expected to understand the business’ strategies and objectives, the predictive business issues to be solved, and contribute to the determination what individual or linked wagering datasets and machine learning tools and algorithms can be used to best solve these issues and be hands-on in solving these issues with predictive tools.
 
The Data Science team is tasked with balancing business insight, acumen, and analytics to develop insights that informs business thinking and develops intellectual property to move the business forward.
 
What you’ll do
 

You will be an individual and team contributor- working on building data science platforms, products, and solutions from the ground-up as well as researching ways to improve the business
Take practical, real-world problems and opportunities and solve them with machine learning processes that drive measurable improvements in business performance and outcomes
Collaborate with internal SMEs, data analysts and data architects, to create predictive analytics products
Support the day to day running of our data science platform and processes
Perform ad-hoc data analysis and present results in a clear manner

What you’ll bring
Qualifications

Advanced Degree in Computer Science, Mathematics, Statistics or Quantitative Science

Experience

2+ years of experience as a Data Analyst / Associate Data Scientist in a corporate environment building and delivering data science products and solutions especially in applying Machine Learning techniques, advanced analytics, and statistical modelling
Experience with the R / Python programming language
Experience with data visualisation tools, such as Tableau
Proficiency in using query languages such as SQL
Experience with cloud-based data environments
Good, applied statistics skills, such as distributions, statistical testing, regression, etc.
Good scripting and programming skills
Strong background in foundational mathematics such as statistics, probability, and linear algebra
A business mindset - you ask and address the most important analytical questions with a view on enhancing product impact
Passionate and attentive self-starter, great communicator, and amazing follow-through - you love the responsibility of being personally empowered
Start-up mentality (fast-paced, flexible, and team-oriented)
Demonstrated ability to apply data science techniques in business environments

Proven ability to get things done under uncertainty
About Tabcorp
Looking for your next challenge? We’re looking for technologists who love to solve complex problems and influence and shape the future. 
At Tabcorp we manage iconic Australian brands which ignite passion and excitement in millions of Australians. Our purpose is ""Excitement with Integrity"", and we pride ourselves on creating awesome, life-changing moments.
At our heart is our customers and community, our people, and our technology.  Last year we contributed over $4.5B to the Australian community.  We’ve been through a transformation and are focused on the future, adopting new technologies and building future capability.
We have an opportunity for resilient and curious technologists to grow their career at Tabcorp and have some fun and excitement along the way.
Tabcorp is committed to creating an inclusive workplace where all our people feel valued for their unique qualities and have a sense of belonging. If you need assistance or adjustments to fully participate in the application process, please contact tabcorprecruitment@tabcorp.com.au
COVID-19
Tabcorp is closely monitoring Department of Health guidelines to ensure we continue to provide a safe working environment.
 "
9,Data Scientist,NAB,"['Melbourne', 'CBD & Inner Suburbs', 'Information & Communication Technology', 'Other', 'Full time']","
Opportunity for Data Scientist
Showcase your specialist expertise in Data Analytics and Insights reporting
Melbourne CBD location

About the role:
The Group Marketing Customer Communications Insights (CCI) team is responsible for building and enabling analytics solution for the marketing analytics teams to support the strategic design, development of effective customer communications across their preferred channels.
The role of Data Scientist will interface with NDC Data Science teams and NDC Operations teams to scale analytics processes and capabilities in the target state platform and architecture across the Marketing teams. This role will be responsible for significantly improving Data & Advanced Analytics insights speed to market using target state architecture and tools.
What you will be doing…

Lead the development and enhancement of feature store for Marketing advanced analytics 
Define Artificial Intelligence (AI) roadmap for marketing based on Technology architecture and NDC capability delivery timelines
Lead the use of advanced analytical techniques across marketing to provide data driven insights and support strategic decision making across teams
Accountable for identifying, embedding, promoting, and ensuring continuous improvement within the use of new data and advanced analytics across the teams
Present analytical findings using data visualisation tools and creation of insight presentations for various audiences
Development of new or improved analytic techniques to support customers met and un-met financial needs

What you will bring
With tertiary qualifications in Statistics, Mathematics, Computer Science, Engineering, or other analytical fields of study, coupled with a strong customer focus at your core, you can demonstrate:

Leading the build and deployment of machine learning models to achieve business outcomes
Extensive experience working in a similar Data Scientist role
Proficient users in SQL, Python, Spark programming languages or any Auto ML products like DataRobot / H2O AI any data visualisation tools
Familiarity with cloud platforms such as AWS (preferred), Azure or GCP
Familiarity with version control (git/github)
Highly developed data analytic skills, working with structured or unstructured datasets and advanced analytics techniques
Good understanding of customer, digital data and analytics landscape and ability to provide data driven insights to support decision making
Strong stakeholder management and influencing skills 
Strong communications skills, able to convey complex messages in a simple and effective manner

What we can offer 
From education and volunteer leave to learning benefits and banking discounts, we offer access to a wide range of employee benefits. You can learn more about these at http://www.nab.com.au/about-us/careers/working-at-nab/benefits 
We embrace diversity of thought, style and working arrangement to ensure our workforce is representative of the community that we service. 
Have a chat to us about how our support of workplace flexibility can work for you. 
NAB, invested in you
At NAB, we believe success comes from our people. We're committed to supporting your talent and skills through your career, as you help us build a culture that affects change for our customers - and for the community too.
To be eligible to apply, you must have Australian or New Zealand citizenship or permanent residency status.
Please note candidate screening and interviews may be conducted prior to the closing date of the job advert."
