,title,date,company,location,salary,description
0,Data Scientist - Consulting,,The Onset,Sydney,Salary: $130-150k base,Great opportunity to form and be part of the APAC Data Science vision for this Global Leader.
1,Senior Data Engineer - Data Platform,,SEEK Limited,Melbourne,,"The Senior Data Engineer is a vital part of the Data Platform Team, who help all product delivery and operations teams across SEEK."
2,Senior Data Engineer - Data Platform,,SEEK Limited,Melbourne,,"The Senior Data Engineer is a vital part of the Data Platform Team, who help all product delivery and operations teams across SEEK."
3,Data Scientist,6h ago,Scentre Group,Sydney,,"Support our growth and strengthen our strategic insights and analytics team, we are seeking a bright, curious, business-oriented Statistical Analyst"
4,Junior Data Scientist - Property and Retail,4d ago,Talent Insights Group Pty Ltd,Sydney,Salary: $100K-$120K Including Super + Bonus,"We are hiring a Junior data scientist for a mature analytics team. Talented peers, Big Data, Varied Problems, End-to-End work & more!"
5,Data Scientist,1h ago,Suncorp,Sydney,Salary: Great salary and supportive culture,Utilise your Insurance Analytics experience and provide recommendations within this crucial role
6,Junior Data Scientist,4d ago,Avant Mutual Group,Sydney,,Great entry level role for a graduate with strong programming skills and willingness to learn-on-the job - apply now for immediate interview!
7,Data Scientist,4d ago,NAB,Melbourne,,Opportunity for Data Scientist to join this innovative team where you can showcase your specialist expertise in Data Analytics and Insights reporting.
8,Data Scientist,3d ago,IAG,Sydney,Salary: $neg + 13% Super and STI,Apply your deep expertise in analytics and data science techniques to uncover customer experience and business process improvements
9,Machine Learning Data Scientist (PHD),6d ago,Susquehanna Pacific Pty Ltd,Sydney,,"Join our quantitative trading team and build models for high frequency asset price prediction, analyse the resulting trades for price prediction."
10,Data Scientist - Advanced Analytics,4h ago,Davidson,Melbourne,Salary: $140k - $160k p.a.,Join an iconic Australian Brand as part of the Advanced Analytics Team. Multiple roles available.
11,Data Scientist,6d ago,Valrose,Perth,,Valrose is the exclusive recruitment provider for the hire of this Data Scientist position.
12,Data Scientist,3d ago,Paxus,ACT,Salary: hourly pay- with competitive rates,"Be involved in supporting the development of advanced analytical models using statistical modelling, and drawing data from large projects."
13,Data Scientist - Large Retail Group,4d ago,Bluefin Resources Pty Limited,Sydney,"Salary: $150000.00 - $160000.00 p.a. incl super, 15% bonus","Data Scientist - Large Retail Group
Improve customer outcomes by developing segmentation, predictive models & actionable insights to drive performance"
14,Data Scientist,4d ago,TheDriveGroup,Sydney,,Own the data function of a scaling Ad-tech firm
15,Data Scientist,7d ago,TheDriveGroup,Sydney,,"Continue to grow both your Data Science and Big Data skillset in a cloud-hosted, industry leading team."
16,Data Scientist - Consulting,4d ago,The Onset,Sydney,Salary: $130-150k base,Great opportunity to form and be part of the APAC Data Science vision for this Global Leader.
17,Data Scientist,3d ago,Effective People,ACT,Salary: $70-$80 per hour inc Super,Our Federal Government Client is seeking a Data Scientist to join them at the EL1 level.
18,Data Scientist,11d ago,Scentre Group,Sydney,Salary: Generous Salary plus benefits,"Strengthening Scentre Group’s growing Data Science capability, you will be supporting and strengthening our strategic insights and analytics team!"
