,Job Title,Company,multiple_details,Description
0,Data Scientist,Fundo Loans,"['Sydney', 'CBD, Inner West & Eastern Suburbs', 'Information & Communication Technology', 'Engineering - Software', '$110,000 - $149,999', 'Full time']","We are scaling up! An exciting opportunity exists for a Data Scientist to join the innovative and successful FinTech team at Fundo Loans, based in Surry Hills.  Why Join Us? Competitive remuneration - be recognised for your experience and skillsAwesome career progression opportunities - make your mark and find fulfillment in a rapidly growing business committed to being better each dayFlexible work environment - be supported with flexible working conditions dedicated to achieving a good work/life balanceNew, light-filled and centrally located office space -  5 mins walk from Central station + surrounded by a vibrant bar and restaurant sceneStrong team culture - be encouraged to develop professionally and personally in a social, supportive and dynamic environment About UsFundo Loans was born in 2015. Our first year revenue was $400,000 - this year will be over $40 Million dollars. We grew our revenue by 996% in 2020 alone, and 250% in 2021. We now have a large scale, off-shore customer service team as well as tech-devs with a small executive tech team here in Sydney. We're dedicated to creating an environment of growth and fulfilment through conquering challenges, and we want you on board for the ride. Job OverviewWe are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.Responsibilities:Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data sets.Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.Develop company A/B testing framework and test model quality.Coordinate with different functional teams to implement models and monitor outcomes.Develop processes and tools to monitor and analyze model performance and data accuracy.Qualifications for Data Scientist:Strong problem solving skills with an emphasis on product development.Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.Experience working with and creating data architectures.Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.Excellent written and verbal communication skills for coordinating across teams.A drive to learn and master new technologies and techniques.We’re looking for someone with 5-7 years of experience manipulating data sets and building statistical models, and is familiar with the following software/tools:Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.Deployed at least 4+ models in productions used by businesses.Experience using web services: AWS, Google Cloud.Proven Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.Experience visualizing/presenting data for stakeholders."
1,Data Analyst,AIA Australia Limited,"['Melbourne', 'CBD & Inner Suburbs', 'Banking & Financial Services', 'Analysis & Reporting', 'Full time']","The focus of this role is to provide support to the AIA Financial Services business and Data & Analytics Lead through the creation and provision of high-quality insights and reports as well as development of reporting tools and analytics.Working alongside the financial advice management teams, this role will help drive the implementation of regulatory and business reporting and data related initiatives. The Data Analyst will analyse complex data to identify opportunities and issues as well as support the delivery of projects and solutions.The Data Analyst requires a high degree of collaboration with the Advice Solutions and Operations business, Group IT and key vendors.This role can be based in Sydney or Melbourne.The OpportunityThe focus of this role is to provide support to the AIA Financial Services business and Data & Analytics Lead through the creation and provision of high-quality insights and reports as well as development of reporting tools and analytics.Working alongside the financial advice management teams, this role will help drive the implementation of regulatory and business reporting and data related initiatives.The Data Analyst will analyse complex data to identify opportunities and issues as well as support the delivery of projects and solutions.The Data Analyst requires a high degree of collaboration with the Advice Solutions and Operations business, Group IT and key vendors.This role can be based in Sydney or Melbourne.To do this successfully you will:Data FoundationManage and provide the data foundation for analysisCreate technical solutions to data source and reporting problemsDevelop robust SQL and other data-driven code, data integration, automated processes, and delivery solutionsDiscover, validate, and interrogate new data sources to ensure accuracy and effective controlsReporting, Insights and AnalyticsResearch, analyse, design, and develop business specifications to achieve agreed business data and reporting deliverablesCreate and produce reports and dashboards using Tableau (Prep/Desktop) to measure and report on AIA FS business performance, identify trends, including insightful commentary as requiredManage workload to ensure deadlines are met and display superior time management skills in managing competing prioritiesSuccessful applications will demonstrate:EssentialAt least three years’ experience in Data Analytics and VisualizationExperience in data processing and programming e.g. SQL, Alteryx, VBAAdvanced understanding and use of Excel, Power BI and TableauWilling to work to challenging deadlines with an emphasis on delivering high quality outcomesHigh level of initiative and self-motivationAble to work well within a team environmentRelevant experience in utilising analytical skills to drive business improvement and solutionsInquisitive mind and passionate about deriving insights from dataExperience in the financial services sector will be highly valuedStrong analytical, reporting, and problem-solving skillsGood interpersonal, negotiation and communication skills, both written and verbalDesired:Knowledge of wealth management and protection productsExperience working with financial planning CRMMicrosoft Access database and VBA skillsWhy choose AIA:At AIA, we’ve made a promise to help people live healthier, longer, better lives. And it starts with our own people.Access our training and development to build on your current skillsCareer development through internal mobility opportunitiesWork for a business helping millions of Australian’s and make a difference to someone’s life every dayAccess additional leave days a year to recharge and refresh yourselfEnjoy wonderful Health and Wellbeing initiatives that support youWork with supportive and inclusive managersFlexible working arrangementsPlease note that applications close at 11:59pm on Friday 11th February 2022. Recruitment Agencies: Our Talent team does not require any recruitment agency support.Interested Candidates: Apply using the ‘Apply’ button. No emailed applications accepted. For general enquiries only, contact:Ashleigh-A.Mcdonald@aia.com, Emily.Vegas@aia.comYou must provide all requested information, including Personal Data, to be considered for this career opportunity. Failure to provide such information may influence the processing and outcome of your application. You are responsible for ensuring that the information you submit is accurate and up-to-date.
"
2,Junior Business Intelligence Analyst,Hays Talent Solutions,"['Sydney', 'CBD, Inner West & Eastern Suburbs', 'Information & Communication Technology', 'Business/Systems Analysts', 'Full time']","Your new companyAt Hays, we are on a journey to become life-long partners to millions of people and organisations. We are proud to be the Industry Leader and understand the important role our people play to ensure we stay the best.
We are bold, agile, and open to new ideas and approaches, whether embracing cutting-edge technologies, developing our people, or innovating the way we work. We know the right person in the right role can change lives and transform the organisation for the better.What you’ll need to succeed in this role:As Junior Business Intelligence Analyst, you will work alongside our Senior BI Analyst and help support the boarder business by analysing and presenting data to inform the decision-making process. You will be responsible for:
Designing, supporting, and maintaining a suite of reports through SSRS, with a view to growth into other reporting platforms (Power BI).
Stakeholder partnering to gather requirements, design, build and deploy solutions.
Analyse data to identify trends and uncover patterns in data and present in dashboards.
Proactively creating and maintaining BI that will assist decision makers and help identify areas for improvement
Assisting with the design and deployment of solutions for contractual requirements of external clients in conjunction with account directors.
To be successful for this role, you will have strong communication skills, the ability to work autonomously and be a self-started. Experience working with SSRS, and advanced SQL knowledge is essential for this role.What you’ll get in returnWe work in a rapidly evolving industry and to help support you in navigating these changes and to enable you to work more efficiently, we invest in your training, development and technology, as well as offer a flexible work environment with the opportunity to work between the office and home.
We encourage diversity of thought to create new ideas and innovate our ways of working and our leadership group is committed to helping you develop your skills and career through on-going training, coaching and support, which could include a move to one of our other 33 countries that we operate in.​
A career at Hays means working with skilled people from diverse backgrounds, in a great atmosphere and with career advancement opportunities.
"
3,Data Analyst,Atos Australia,"['Sydney', 'CBD, Inner West & Eastern Suburbs', 'Information & Communication Technology', 'Business/Systems Analysts', 'Full time']","About Atos:Atos is a global leader in digital transformation with 110,000 employees in 73 countries and annual revenue of € 12 billion. European number one in Cloud, Cybersecurity and High-Performance Computing, the Group provides end-to-end Orchestrated Hybrid Cloud, Big Data, Business Applications and Digital Workplace solutions. The Group is the Worldwide Information Technology Partner for the Olympic & Paralympic Games and operates under the brands Atos, Atos|Syntel, and Unify. Atos is a SE (Societas Europaea), listed on the CAC40 Paris stock index.The purpose of Atos is to help design the future of the information space. Its expertise and services support the development of knowledge, education and research in a multicultural approach and contribute to the development of scientific and technological excellence. Across the world, the Group enables its customers and employees, and members of societies at large to live, work and develop sustainably, in a safe and secure information space.Are you an experienced IT professional looking to further your career with a global leader in the Information Technology workspace?Atos ANZ is seeking a high performing, self-starting Data Analyst to join our team of experts. Atos is a global frontrunner in designing the future of the information space. Across the world, we enable our customers, employees and members of societies at large to live, work and develop sustainably in a safe and secure information space. At Atos, we drive state of the art initiatives and solutions such as Edge Computing, Quantum Computing, Artificial Intelligence, Innovation and the Scientific Community. Headquartered in Melbourne, with offices in Sydney, Perth and Auckland, Atos (ANZ) Pty Ltd is part of the Asia Pacific operations.The Data Analyst role involves working as part of our onsite customer support team. The role has high customer focus supported with strong technical skills.Atos Australia is going through a period of growth and is looking for a customer focused talented candidate to join our team based in Sydney.Excellent career opportunity working with close-knit teams for high achieving candidatesExciting professional development opportunities in a growing multinational high-tech organisationYou will be provided with thorough training and development opportunities to further your careerWith long term career opportunities within Atos, you will be provided with amazing opportunitiesAtos Australia is a leader with a strong customer focus and innovation in mind. Through our team of experts located in key areas around Australia we pride ourselves on delivering high quality Business enabling Technology solutions to our customer.The RoleThe Data Analyst role involves working at the customer site alongside a senior member of our Atos Team. You will represent the customer and as a result will gain valuable insight into how our Customer conducts Engineering Changes, Configuration Management, Asset Management and Sustainment activities, plus many other aspects of their business.The team delivers expert advice on Asset Management and Configuration Management solutions used by our customer. You will also provide to the customer Data Analyst advise to maximise the use of the applications at hand. These systems are currently undergoing upgrades, and hence a perfect time to join.The role will also involve you liaising with key stakeholders across Australia.The Application Support Team and Data Management Team are Atos members who provide support to our customer.To be successful in this role you will need strong interpersonal skills, team orientated, a keen eye for detail and the curiosity to find out why things are failing, how they can be resolved and how can the customers get more benefit to their business from our solutions.Essential RequirementsShortlisted candidates will meet the criteria below, be based in Sydney, Melbourne OR Perth and must have existing permanent work rights for Australia.Exceptional written and oral communication skillsProven problem-solving abilities including articulating & formal documentation of solutionsMotivation and willingness to learn and receive mentoring and guidanceAbility to effectively manage time to reach outcomes within deadlinesSQL Server / Oracle & Data Warehouse ConceptsTeam-oriented, structured working style combined with good, communication and presentation skillsAble to disseminate information to all levels in a clear and concise manner utilising good written, verbal and computer skillsLearn and embrace new technologies and openly seek advice from others when unsure of approach or technologyPractical experience in agile software development or product lifecycle managementExpert knowledge in the Asset Management and Planning System application used by the RANApplicants must be willing to undergo a security clearance. Desirable RequirementsCustomer facing experience and the confidence and ability to communicate at all levelsAn existing Baseline security is advantageousExposure to any of the following: Salesforce, SAP & PegaPLM and Industry 4.0, IoT, Digital Twin, AI and Machine LearningPreference given to Defence or ex-Defence Force candidates. Note:By submitting a job application, you agree that information submitted by you may be processed by Atos Australia for the purposes of assessing your candidacy. Such processing steps may include sharing the information with other companies within Atos Group who are providing us with assistance in the recruitment of the role.   Atos respects your privacy and will take reasonable measures to comply with all applicable data protection laws."
4,Data Analyst,Infrastructure Partnerships Australia,"['Sydney', 'CBD, Inner West & Eastern Suburbs', 'Consulting & Strategy', 'Analysts', 'Full time']","About Infrastructure Partnerships AustraliaInfrastructure Partnerships Australia is an independent think tank and peak industry body with members across the public and private sectors. Infrastructure Partnerships Australia was created to drive purposeful reform in infrastructure and efficient public services, with the aim of achieving the best possible economic and social success for Australia. We consider infrastructure issues spanning transport, utilities and social infrastructure (such as social housing, health, education and justice).The Policy and Research teamThe Policy and Research team underpins Infrastructure Partnerships Australia’s position as the nation’s foremost infrastructure think tank and peak industry body. We develop industry-leading public policy and advice on the forward pipeline to advance the infrastructure reform agenda and help shape the market for infrastructure investment in Australia. We developed and maintain the Australia & New ZealandInfrastructure Pipeline (ANZIP), which provides the most comprehensive, trusted and insightful picture of future infrastructure investments in the region.The roleWe are recruiting for an Infrastructure Data Analyst within Infrastructure Partnerships Australia’s Policy and Research team. The successful candidate will play a central role in identifying, developing and delivering high-quality advice on infrastructure projects in Australia and New Zealand. The candidate will make key contributions to policy and research initiatives through the analysis and visualisation of Australian infrastructure market data (utilising Tableau or other Business Intelligence tools). This role also provides unrivalled opportunities to develop and maintain effective relationships with senior business and public sector leaders, including the members of our Advisory Board. The successful candidate will have highly developed abilities in data analysis and written communication, great interpersonal skills, exceptional attention to detail, and a strong interest in infrastructure investments and reforms.Preferred candidates will have:Up to two years of experience in a relevant fieldRelevant tertiary qualifications and a strong academic recordSkills in compiling, analysing, visualising and presenting data using Tableau or other business intelligence toolsSkills in geospatial mapping will be highly regardedAdvanced written and oral communication skillsWillingness and capacity to learn new concepts and skills quicklyA broad understanding of infrastructure markets, economic and financial conceptsA strong track record of helping to deliver successful projects or programs, andan ability to manage competing priorities and projects and deliver work to tight deadlines.Candidates should submit their CV and a cover letter of up to two pages detailing their interest in and suitability for the role based on the criteria outlined above. Applications without both a CV and cover letter will not be considered. Cover letters should be addressed to:Human Resources Manager Infrastructure Partnerships Australia via email: IPACareers@infrastructure.org.auA full job description can be accessed at www.infrastructure.org.auFor further information please contact Jack Bateman, Senior Policy Adviser and ANZIP Lead, Policy & Research on +61 2 9152 6019"
5,Data Analyst,Ethos BeathChapman,"['Sydney', 'CBD, Inner West & Eastern Suburbs', 'Information & Communication Technology', 'Business/Systems Analysts', '$600 - $725 per day', 'Contract/Temp']","About the role:$600 - $725   Super12 month contractFinancial ServicesCandidates must be based in Australia with full working rights to be considered. I am currently working with a number of clients in the finance sector who are looking for data analyst to join them for 12 months   contract positions. Project include remediation, workforce analytics, data/cloud migration and more!Working for a leading financial institution on critical projects to provide strong analysis, insights and recommendations during data transformation projects. You will be responsible for enhancing existing business data & analytics, with a day to day responsibility of managing complex data sets and creating business wide reporting through the creation of dashboards and providing insights to key senior stakeholders. Projects include remediation, risk, wealth management and more. Key Skills:Highly proficient in SQL and querying relational databases.Detailed knowledge, understanding and application of reporting & insights skills.Experience working in Banking and Finance required.4 years   experience in reporting, insights and data.Experience with Teradata is beneficial.Experience dealing with numerous stakeholders and articulating findings and solutions is paramount.Strong analytical skills with the ability to collect, organise, analyse and disseminate significant amounts of information with attention to detail and accuracy.Excellent verbal, written communication and presentation skills, with the confidence to provide insights and feedback to internal and external stakeholders.For further information on this role or to confidentially apply, please contact Raj Sharif on 02 8227 9222 or apply directly via the Apply for this job button. Only WORD FORMAT resumes will be accepted"
6,Data Analyst,Aurec,"['Sydney', 'Parramatta & Western Suburbs', 'Information & Communication Technology', 'Database Development & Administration', 'Up to 684 + super ', 'Contract/Temp']","Work in a large NSW government project migrating data to the new age. 12 months contract initiallyParramatta + WFHUp to $684/pd + superData migrationData mapping & reconciliationRequirements of the position analysis Work with stakeholders and the data migration team on activities such asManaging, identifying, and correcting data quality issuesResponding to data related information requestsProviding or arranging for data extractsAssist with data mapping and reconciliationCriteria Minimum 12 months experience in a Data Analyst roleStrong experience in some or all of the following SAP areas: Finance, HR / Payroll,Asset Management, Real EstateProblem solving and critical thinking skillsExcellent interpersonal / communication skillsAbility to work in a complex environment with multiple stakeholders If you would like to be considered for this role please click apply and submit your resume as MS Word Doc.  For more information please contact Shankar Sapkota at Ssapkota AT Aurec Dot com or call 82481865"
7,Data Analyst,Reserve Bank of Australia,"['Sydney', 'CBD, Inner West & Eastern Suburbs', 'Information & Communication Technology', 'Developers/Programmers', 'Access to a wide-range of staff benefits', 'Full time']","
Opportunity to work on a high impact transformation
Looking for experienced R programming specialists
Duration until 30 January 2023

Opportunity to work on a key program at the Reserve Bank of Australia, delivering a new analytics platform that will be at the core of our economic insights and reporting. 
We are looking for an experienced Senior Data Analyst to work on a highly visible project involving a complex SQL multidimensional data warehouse, reporting and analytics solution for APRA-sourced data which is used to analyse and forecast liquidity and other nationally critical data in the Australian financial system.
You’ will be working with senior economists and IT program professionals to deliver a bespoke and high profile analytics and reporting system which is critical to the Bank’s work.
In this role you will:

Collaborate with business and IT stakeholders to develop, maintain and optimise data collection and related statistical reporting to provide timely, accurate, and accessible data for economists' informed decision-making.
Independently assess and document current business standard and ad-hoc complex reporting and data analysis requirements including calculations.
Analyse and document user stories and business requirements for a new data analytics platform using agile based and traditional methods
based and traditional methods
Transform data from multiple sources using R programming to produce automated data analytics, visualisations and statistical reports.
Ensure ongoing data integrity, reporting data inconsistencies and resolving these in close collaboration with stakeholders.

Your team
This role is within the Financial System Group which monitors, researches and reports on the payments system and stability of the financial system.
You will work closely with mature and high performing cross-functional Scrum teams within the RBA and with APRA. The work environment is collaborative, friendly and supportive.
Your background
To be successful in this critical role you will possess:

Advanced experience designing and developing efficient code, functions and scripts that leverage data from multiple sources using R and SQL programming languages.
Ability to facilitate workshops or meetings with business and technical stakeholders and external parties at various levels.
Demonstrated experience in data extraction, manipulation and data management.
Advanced knowledge of database and business intelligence concepts and tools.
Any IT technology expertise involving solution design / database development desirable.
Strong written communication skills and concise and succinct communication style.

Your development & career
Working for an organisation that truly makes a difference to the Australian people, we can offer development and career opportunities in a collaborative environment that supports people’s growth, wellbeing and promotes flexibility.
About the RBA
The RBA pursues national economic policy objectives and undertakes a range of associated activities in financial markets and banking. It also issues Australia's banknotes and operates infrastructure critical to the payments system, all of which contributes to the welfare of the Australian people.
Our people have a critical role to play in achieving these objectives, whether directly or in a supporting capacity. As a values driven organisation, our people conduct themselves with a high degree of integrity, while striving for excellence in the work they perform and the outcomes they achieve. We encourage intelligent inquiry, we treat one another with respect, while promoting the public interest in our efforts. 
The Reserve Bank of Australia is an equal opportunity employer.  We are committed to creating a diverse and inclusive workplace and encourage applications from experienced candidates seeking workplace flexibility."
8,Data Analyst,Servian Pty Ltd,"['Sydney', 'CBD, Inner West & Eastern Suburbs', 'Information & Communication Technology', 'Database Development & Administration', 'Full time']","Who are we? Servian, is an award-winning, regional, and global tech consultancy with a rich heritage in Data, DevOps, Digital app dev, Machine Learning, and cloud. We embrace innovation, change, and the positive impact it has on us and our clients. All roles at Servian involve personal and technical development pathways which aim to facilitate your career growth. We aim to build an employee experience where you will grow more with us, not be drowned out by the loudest voice, and hence we strive to set you up for a career that will have a greater impact. We are currently looking for talented Data Analysts to join our Sydney team to support our clients in making strategic, data-related decisions by analyzing, manipulating, tracking, and reporting data. Our data analysts & consultants are natural problem solvers - they are curious, ambitious, and experts in their fields.  You will have the opportunity to collaborate and learn from our whole team. You will be working on exciting and interesting projects, working with our clients to understand their needs and to help shape the engagements that allow Servian to provide services that will meet those needs.   If you have a passion for learning new technologies, want to be tech agnostic, and work with like-minded technologists, Servian is the place to grow your career and have fun in the process! You will be involved in:  Advising on data analysis and visualisation approaches and strategies. Implementing solutions for the establishment of data analysis capabilities including data access, data wrangling and transformation, and data analysis and visualisation. Delivering a data analysis over a diverse range of data sources and formats, including structured, multi-structured, and unstructured. Guiding the interpretation and communication of results of data analysis, making recommendations to stakeholders of varying levels of data literacy. Collaborating with system owners, data providers, analysts, managers, and various other stakeholders to data projects. Managing your time, the team, the stakeholders, and the engagement, to deliver the data management capability. Supporting pre-sales activity to promote Servian, our capabilities, and value to current and prospective clients. You will have:  Strong analytical thinker and problem solver with thought leadership and commercial awareness. Strong knowledge of SQL, P/SQL, databases, integration, master data management, quality assurance, data wrangling, and data governance technologies. Sound understanding of data structures, data modeling, and data optimisation techniques. Ability to analyse large, complex datasets from diverse sources, structures and formats. Ability to articulate highly technical concepts and insights, in a way that can be understood by stakeholders of varying degrees of technical literacy. Collaboration skills and understanding of business challenges & drivers. Knowledge of Cloud environments is desirable, including Google, AWS, and Azure. Awareness of AI and ML technologies and principles is desirable. Why Servian?  At Servian we believe talented technologists matter, this means we want to help grow your career and develop your passion in the ever-changing tech industry. Variety of interesting projects, using emerging technologies. A collaborative environment for talented technologists. Continuous learning and development across multiple dimensions including technology, leadership, and commerciality. Wellbeing & Benefits:  Access to a wide range of internal training sessions, across both technical and consulting skills. Sponsored certifications across all our partner technology vendors.  We provide employees with Life Insurance, Income Protection Insurance, and access to an Employee Assistance Program.  Generous Parental leave. We are proud to have a sociable workplace that values diversity and celebrates achievement with multiple company-wide, social, and family events throughout the year. Due to Covid-19, all social events are currently virtual. Inclusion & Diversity:  Servian recognises individual differences and welcomes people from a variety of life and work experiences. The diversity of our people is core to our ability to innovate, grow, and to fulfill our collective aspiration of helping people to own their tomorrow.  A natural curiosity, a respect for differences, and a growth mindset are valued at Servian. Our business is focused on developing our people and offerings across the following:  Cloud & Technology - Cloud Services (AWS, Azure, Google Cloud Platform), DevOps, and Automation inc HashiCorp. Data & Analytics - BI/DWH, Big Data Analytics, Data Engineering, Data Science, and Advanced Analytics. Digital - Full stack Development, UI/UX Design, Mobile Development. Customer Engagement - Marketing Campaigns, Campaign Analysis, Customer Insights. Artificial Intelligence - Natural Language Processing, Computer Vision, Machine Learning, Deep Learning. If this role sounds of interest or you would like to hear about other exciting opportunities, please get in touch with the Servian Talent Acquisition Team.  "
9,Data Analyst ,Talenza,"['Melbourne', 'Information & Communication Technology', 'Database Development & Administration', '$700 - $800 p.d.', 'Contract/Temp']","Data Analyst  12 Month Melbourne  $800pd Inc super  Top tier enterprise FS institute require a Data Analyst to join an Agile team where you will be responsible for developing enterprise-wide Data Quality metrics (using Ataccama).  Key responsibilities Conduct data quality assessments, including profiling data to understand the current state of data, its quality in various source system(s), identify gaps or missing data, collect statistics and derive data quality metricsPerform standard profiling of data attributes on Ataccama platformBuild custom Data Quality rules using Ataccama platform, and work with the business to validate new rulesPublish detailed Data Quality results into SQL Server data warehouse for use in customised metrics dashboards (using Power BI)Key Requirements Proven experience working within a data governance/management functionStrong SQL skills (experience in MS SQL Server preferred)Experience with ETL technologies (Microsoft stack preferred e.g. SSIS)Experience working with Data Quality tools (Ataccama preferred)Data visualisation experience (PowerBI preferred)Data warehouse experienceIf you feel you possess the relevant skills to the above, apply now with most updated CV! "
